DEP	AR	CT	COM	LEG	JO	EFF	DTR	MOD	C-LOFF	C-LANC	NBCOM	RANGCOM	COMECH	POPECH	SUECH	DEPANC	ARRANC	CTANC	TNCCOFF	NCCOFF	TNCCANC	NCCANC
01			003	A07-12-1982		01-01-1983	01-01-1983	35					01165						1	Amareins		
01			003	A16-07-1973	19-08-1973	01-01-1974	01-01-1974	33					01165						1	Amareins		
01	1	01	004	D25-03-1955	30-03-1955	31-03-1955	31-03-1955	10											1	Ambérieu-en-Bugey	1	Ambérieu
01	4	23	014	D17-12-1996	24-12-1996	01-01-1997	01-01-1997	61					01283	0	0				1	Arbent		
01	4	23	014	D17-12-1996	24-12-1996	01-01-1997	01-01-1997	63					01283	0	0				1	Arbent		
01			018	A09-12-1970	29-12-1970	01-01-1971	01-01-1971	31					01033						1	Arlod		
01			020	A11-05-1964	03-06-1964	04-06-1964	04-06-1964	31					01125						1	Arnans		
01	2	42	021	D12-10-1956	18-10-1956	19-10-1956	19-10-1956	10											1	Ars-sur-Formans	1	Ars
01	2	21	024	D09-09-1996	14-09-1996	15-09-1996	15-09-1996	63					01451	0	1				1	Attignat		
01	4	41	031	D14-08-1957	21-08-1957	22-08-1957	22-08-1957	10											0	Bellignat	0	Bélignat
01	4	03	033	A09-12-1970	29-12-1970	01-01-1971	01-01-1971	32			1	1	01018						0	Bellegarde-sur-Valserine		
01	4	03	033	D21-03-1966	22-03-1966	23-03-1966	23-03-1966	32			1	1	01126						0	Bellegarde-sur-Valserine		
01	4	03	033	D12-10-1956	18-10-1956	19-10-1956	19-10-1956	10											0	Bellegarde-sur-Valserine	0	Bellegarde
01	1	09	036	A03-11-1997		01-12-1997	01-12-1997	36					01226						0	Belmont-Luthézieu		
01	1	09	036	D17-10-1974	27-10-1974	01-11-1974	01-11-1974	11											0	Belmont-Luthézieu	0	Belmont
01	1	09	036	D17-10-1974	27-10-1974	01-11-1974	01-11-1974	34			1	1	01226						0	Belmont-Luthézieu		
01			048	A23-12-1999		01-01-2000	01-01-2000	35					01245						0	Bohas		
01			048	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	33					01245						0	Bohas		
01	2	99	053	D25-03-1955	30-03-1955	31-03-1955	31-03-1955	10											0	Bourg-en-Bresse	0	Bourg
01			055	A29-12-1972	16-02-1973	01-01-1973	01-01-1973	31					01283						0	Bouvent		
01	1	04	058	D22-11-2007	24-11-2007	25-11-2007	25-11-2007	61					38022	0	41				0	Brégnier-Cordon		
01	1	04	058	D22-11-2007	24-11-2007	25-11-2007	25-11-2007	63					38022	0	36				0	Brégnier-Cordon		
